chaps_id,birth_date,breed,reg_no,reg_name,elec_id,sire_id,dam_id,sex,sex_date,birth_weight,calving_ease,state,herd_id,cow_age
207,0000-00-00,ARLOARAN,,,,20435,10129,3,0000-00-00,75,1,,H38,5
208,0000-00-00,ARLOAN,,,,20435,10088,2,0000-00-00,72,1,,H38,7
209,0000-00-00,ARLOANAN,,,,20435,10157,3,0000-00-00,72,1,,H38,5
210,0000-00-00,ARARLOAN,,,,20435,448,3,0000-00-00,73,1,,H38,4
211,0000-00-00,LOLOARHH,,,,20430,10199,3,0000-00-00,62,1,,H38,2
212,0000-00-00,ARLOHH,,,,20472,467,3,0000-00-00,76,1,,H38,4
213,0000-00-00,ARLOANMX,,,,20437,10183,2,0000-00-00,65,1,,H38,3
214,0000-00-00,ARLOARAN,,,,20435,10134,3,0000-00-00,83,1,,H38,5
215,0000-00-00,ARLOANHH,,,,20435,10104,3,0000-00-00,80,1,,H38,7
216,0000-00-00,ARARLOAN,,,,20447,466,3,0000-00-00,89,1,,H38,4
217,0000-00-00,LOLOANAR,,,,20430,10202,3,0000-00-00,50,1,,H38,2
218,0000-00-00,ARLOANAN,,,,20437,10188,3,0000-00-00,70,1,,H38,3
219,0000-00-00,ARLOANHH,,,,20447,10108,2,0000-00-00,70,1,,H38,7
220,0000-00-00,ARLOANHH,,,,20447,10139,3,0000-00-00,90,1,,H38,5
221,0000-00-00,ARLOLOHH,,,,20447,373,2,0000-00-00,75,1,,H38,7
222,0000-00-00,ARLOANAR,,,,20437,10180,3,0000-00-00,70,1,,H38,3
223,0000-00-00,LO,,,,20430,10213,3,0000-00-00,70,1,,H38,2
224,0000-00-00,ARARLOAN,,,,20447,471,3,0000-00-00,64,1,,H38,4
225,0000-00-00,ARLOHHAR,,,,20472,372,2,0000-00-00,63,1,,H38,7
226,0000-00-00,ARLOARHH,,,,20447,10124,2,0000-00-00,84,1,,H38,5
227,0000-00-00,ARANARHH,,,,20447,10163,2,0000-00-00,80,1,,H38,4
228,0000-00-00,ARARLOAN,,,,20435,400,3,0000-00-00,70,1,,H38,5
229,0000-00-00,ARLOAN,,,,20472,10111,3,0000-00-00,84,1,,H38,7
