chaps_id,start_date,exit_date,herd_id,producer_id,entry_code,exit_code
401,2008-03-22,NULL,H38,0,NULL,NULL
402,2008-03-23,NULL,H38,0,NULL,NULL
403,2008-03-24,NULL,H38,0,NULL,NULL
404,2008-03-25,NULL,H38,0,NULL,NULL
405,2008-03-25,NULL,H38,0,NULL,NULL
406,2008-03-25,NULL,H38,0,NULL,NULL
407,2008-03-25,NULL,H38,0,NULL,NULL
408,2008-03-27,NULL,H38,0,NULL,NULL
409,2008-03-27,NULL,H38,0,NULL,NULL
410,2008-03-28,NULL,H38,0,NULL,NULL
411,2008-03-28,NULL,H38,0,NULL,NULL
412,2008-03-29,NULL,H38,0,NULL,NULL
413,2008-03-30,NULL,H38,0,NULL,NULL
414,2008-03-31,NULL,H38,0,NULL,NULL
415,2008-04-02,NULL,H38,0,NULL,NULL
416,2008-04-03,NULL,H38,0,NULL,NULL
417,2008-04-04,NULL,H38,0,NULL,NULL
418,2008-04-06,NULL,H38,0,NULL,NULL
419,2008-04-07,NULL,H38,0,NULL,NULL
420,2008-04-07,NULL,H38,0,NULL,NULL
421,2008-04-07,NULL,H38,0,NULL,NULL
422,2008-04-07,NULL,H38,0,NULL,NULL
423,2008-04-09,NULL,H38,0,NULL,NULL
424,2008-04-14,NULL,H38,0,NULL,NULL
425,2008-04-16,NULL,H38,0,NULL,NULL
426,2008-04-16,NULL,H38,0,NULL,NULL
427,2008-04-17,NULL,H38,0,NULL,NULL
428,2008-04-17,NULL,H38,0,NULL,NULL
429,2008-04-18,NULL,H38,0,NULL,NULL
430,2008-04-19,NULL,H38,0,NULL,NULL
431,2008-04-19,NULL,H38,0,NULL,NULL
432,2008-04-20,NULL,H38,0,NULL,NULL
433,2008-04-20,NULL,H38,0,NULL,NULL
434,2008-04-20,NULL,H38,0,NULL,NULL
435,2008-04-27,NULL,H38,0,NULL,NULL
436,2008-04-30,NULL,H38,0,NULL,NULL
437,2008-05-01,NULL,H38,0,NULL,NULL
438,2008-05-05,NULL,H38,0,NULL,NULL
439,2008-05-08,NULL,H38,0,NULL,NULL
440,2008-05-12,NULL,H38,0,NULL,NULL
441,2008-05-14,NULL,H38,0,NULL,NULL
442,2008-05-16,NULL,H38,0,NULL,NULL
443,2008-03-06,NULL,H38,0,NULL,NULL
444,2008-03-05,NULL,H38,0,NULL,NULL
445,2009-03-20,NULL,H38,0,NULL,NULL
446,2009-03-22,NULL,H38,0,NULL,NULL
447,2009-03-22,NULL,H38,0,NULL,NULL
448,2009-03-22,NULL,H38,0,NULL,NULL
449,2009-03-23,NULL,H38,0,NULL,NULL
450,2009-03-23,NULL,H38,0,NULL,NULL
451,2009-03-23,NULL,H38,0,NULL,NULL
452,2009-03-23,NULL,H38,0,NULL,NULL
453,2009-03-26,NULL,H38,0,NULL,NULL
454,2009-03-26,NULL,H38,0,NULL,NULL
455,2009-03-26,NULL,H38,0,NULL,NULL
456,2009-03-27,NULL,H38,0,NULL,NULL
457,2009-03-27,NULL,H38,0,NULL,NULL
458,2009-03-28,NULL,H38,0,NULL,NULL
459,2009-03-31,NULL,H38,0,NULL,NULL
460,2009-03-31,NULL,H38,0,NULL,NULL
461,2009-03-31,NULL,H38,0,NULL,NULL
462,2009-04-01,NULL,H38,0,NULL,NULL
463,2009-04-01,NULL,H38,0,NULL,NULL
464,2009-04-01,NULL,H38,0,NULL,NULL
465,2009-04-01,NULL,H38,0,NULL,NULL
466,2009-04-03,NULL,H38,0,NULL,NULL
467,2009-04-04,2013-11-14,H38,0,NULL,K
468,2009-04-04,NULL,H38,0,NULL,NULL
469,2009-04-07,NULL,H38,0,NULL,NULL
470,2009-04-08,NULL,H38,0,NULL,NULL
471,2009-04-09,NULL,H38,0,NULL,NULL
472,2009-04-09,NULL,H38,0,NULL,NULL
473,2009-04-09,NULL,H38,0,NULL,NULL
474,2009-04-10,NULL,H38,0,NULL,NULL
475,2009-04-13,NULL,H38,0,NULL,NULL
476,2009-04-13,NULL,H38,0,NULL,NULL
477,2009-04-15,NULL,H38,0,NULL,NULL
478,2009-04-15,NULL,H38,0,NULL,NULL
479,2009-04-16,NULL,H38,0,NULL,NULL
480,2009-04-18,NULL,H38,0,NULL,NULL
481,2009-04-19,NULL,H38,0,NULL,NULL
482,2009-04-21,NULL,H38,0,NULL,NULL
483,2009-04-25,NULL,H38,0,NULL,NULL
484,2009-04-28,NULL,H38,0,NULL,NULL
485,2009-05-07,NULL,H38,0,NULL,NULL
486,2009-05-18,NULL,H38,0,NULL,NULL
487,2010-02-23,NULL,H38,0,NULL,NULL
488,2010-02-28,NULL,H38,0,NULL,NULL
489,2010-03-01,NULL,H38,0,NULL,NULL
490,2010-03-01,NULL,H38,0,NULL,NULL
491,2010-03-01,NULL,H38,0,NULL,NULL
492,2010-03-03,NULL,H38,0,NULL,NULL
493,2010-03-03,NULL,H38,0,NULL,NULL
494,2010-03-04,NULL,H38,0,NULL,NULL
495,2010-03-05,NULL,H38,0,NULL,NULL
496,2010-03-05,NULL,H38,0,NULL,NULL
497,2010-03-05,NULL,H38,0,NULL,NULL
498,2010-03-05,NULL,H38,0,NULL,NULL
499,2010-03-07,NULL,H38,0,NULL,NULL
500,2010-03-07,NULL,H38,0,NULL,NULL
501,2010-03-08,NULL,H38,0,NULL,NULL
502,2010-03-08,NULL,H38,0,NULL,NULL
503,2010-03-10,NULL,H38,0,NULL,NULL
504,2010-03-11,NULL,H38,0,NULL,NULL
505,2010-03-12,NULL,H38,0,NULL,NULL
506,2010-03-12,NULL,H38,0,NULL,NULL
507,2010-03-13,NULL,H38,0,NULL,NULL
508,2010-03-13,NULL,H38,0,NULL,NULL
509,2010-03-13,NULL,H38,0,NULL,NULL
510,2010-03-14,NULL,H38,0,NULL,NULL
511,2010-03-14,NULL,H38,0,NULL,NULL
512,2010-03-14,NULL,H38,0,NULL,NULL
513,2010-03-15,NULL,H38,0,NULL,NULL
514,2010-03-15,NULL,H38,0,NULL,NULL
515,2010-03-15,NULL,H38,0,NULL,NULL
516,2010-03-16,NULL,H38,0,NULL,NULL
517,2010-03-18,NULL,H38,0,NULL,NULL
518,2010-03-18,NULL,H38,0,NULL,NULL
519,2010-03-18,NULL,H38,0,NULL,NULL
520,2010-03-18,NULL,H38,0,NULL,NULL
521,2010-03-19,NULL,H38,0,NULL,NULL
522,2010-03-19,NULL,H38,0,NULL,NULL
523,2010-03-19,NULL,H38,0,NULL,NULL
524,2010-03-20,NULL,H38,0,NULL,NULL
525,2010-03-20,NULL,H38,0,NULL,NULL
526,2010-03-21,NULL,H38,0,NULL,NULL
527,2010-03-23,NULL,H38,0,NULL,NULL
528,2010-03-25,NULL,H38,0,NULL,NULL
529,2010-03-26,NULL,H38,0,NULL,NULL
530,2010-03-26,NULL,H38,0,NULL,NULL
