HerdID,Chaps_ID,CalfID,birth_date,breed,registration,regname,elecid,sire_chapsID,SireID,Cow_chapsID,CowID,CowAge,sex,birthwt,calvingease,state,sex_date
H38,242,A3124,2013-05-21,LOLOARAN,,,,20430,UNKNLO,10201,Y1022,2,3,56,1,,
H38,243,A3128,2013-05-21,ARLOANHH,,,,20471,X146,10103,S6165,7,2,75,1,,
H38,244,A3129,2013-05-21,ARLOARAN,,,,20437,V131,10181,X0089,3,3,75,1,,
H38,245,A3130,2013-05-21,ARARLOAN,,,,20435,V103,480,W9224,4,3,80,1,,
H38,246,A3131,2013-05-21,ARARLOAN,,,,20447,W12,402,U8044,5,3,83,1,,
H38,247,A3132,2013-05-21,ARLOLOHH,,,,20447,W12,414,U8133,5,2,73,1,,
H38,248,A3133,2013-05-21,ARLOANHH,,,,20472,X187,10102,S6164,7,2,84,1,,
H38,249,A3139,2013-05-22,ARARLOAN,,,,20435,V103,453,W9069,4,2,75,1,,
H38,250,A3148,2013-05-23,ARLOANAN,,,,20447,W12,10086,S6094,7,2,70,1,,
H38,251,A3153,2013-05-24,ARARLOAN,,,,20435,V103,457,W9077,4,2,70,1,,
H38,252,A3154,2013-05-24,ARLOANGV,,,,20471,X146,10059,P4082,9,2,84,1,,
H38,253,A3155,2013-05-24,ARARLOLO,,,,20435,V103,478,W9215,4,3,89,1,,
H38,254,A3156,2013-05-24,ARLOANAN,,,,20447,W12,10096,S6124,7,2,69,1,,
H38,255,A3162,2013-05-25,ARARLOLO,,,,20447,W12,417,U8163,5,3,93,1,,
H38,256,A3163,2013-05-25,ARLOANAN,,,,20437,V131,10192,X0290,3,3,77,1,,
H38,257,A3164,2013-05-25,ARLOANHH,,,,20447,W12,10156,U8285,5,3,72,1,,
H38,258,A3165,2013-05-25,ARLOANAN,,,,20437,V131,10187,X0269,3,2,64,1,,
H38,259,A3166,2013-05-25,ARLOAN,,,,20437,V131,10193,X0291,3,2,70,1,,
H38,260,A3176,2013-05-26,ARLOAN,,,,20447,W12,10093,S6115,7,2,69,1,,
H38,261,A3177,2013-05-26,ARARLOAN,,,,20447,W12,472,W9188,4,3,93,1,,
H38,262,A3187,2013-05-27,ARLOANAN,,,,20437,V131,10191,X0287,3,2,74,1,,
H38,263,A3193,2013-05-29,ARARLOAN,,,,20435,V103,424,U8242,5,3,85,1,,
H38,264,A3194,2013-05-29,ARLOANAN,,,,20472,X187,10119,S6273,7,3,110,1,,
H38,265,A3195,2013-05-29,ARARLOAN,,,,20447,W12,403,U8045,5,2,75,1,,
H38,266,A3198,2013-05-29,LO,,,,20430,UNKNLO,10216,Y1253,2,3,65,1,,
H38,267,A3199,2013-05-29,ARLOANAN,,,,20447,W12,10118,S6266,7,2,110,1,,
H38,268,A3200,2013-05-30,ARARANAN,,,,20447,W12,10176,W9216,4,2,85,1,,
H38,269,A3201,2013-05-30,ARARLOAN,,,,20435,V103,461,W9109,4,2,74,1,,
H38,270,A3206,2013-06-02,ARLOHHAR,,,,20447,W12,420,U8190,5,3,86,1,,
H38,271,A3210,2013-06-03,ARLOANAN,,,,20437,V131,10186,X0266,3,2,72,1,,
H38,272,A3211,2013-06-03,ARARLOAN,,,,20435,V103,434,U8278,5,2,90,1,,
H38,273,A3212,2013-06-03,ARLOARHH,,,,20472,X187,10095,S6122,7,3,100,1,,
H38,274,A3218,2013-06-03,ARLOARHH,,,,20437,V131,10182,X0180,3,2,71,1,,
H38,275,A3219,2013-06-07,LOLOARAN,,,,20430,UNKNLO,10205,Y1089,2,2,65,1,,
H38,276,A3221,2013-06-06,ARANLOAN,,,,20435,V103,463,W9123,4,3,96,1,,
H38,277,A3222,2013-06-07,ARANLOHH,,,,20435,V103,456,W9076,4,2,75,1,,
H38,278,A3224,2013-06-09,ARLOARAN,,,,20435,V103,10131,U8043,5,2,83,1,,
H38,279,AMS01,2013-05-03,LO,,,,20430,UNKNLO,10215,Y1251,2,2,50,1,,
H38,280,AMS06,2013-06-06,LO,,,,20430,UNKNLO,10211,Y1232,2,3,80,1,,
H38,281,B4001,2014-04-27,LMLOARAN,,,,20429,UNKNLM,10198,Y1008,3,2,65,1,,
H38,282,B4002,2014-04-28,ARARLOLO,,,,20437,V131,417,U8163,6,2,76,1,,
H38,283,B4003,2014-04-30,ARLOANGV,,,,20473,Y066,10059,P4082,10,3,85,1,,
H38,284,B4004,2014-05-01,ARLOANAN,,,,20425,UNKNAR,10096,S6124,8,2,80,1,,
H38,285,B4006,2014-05-01,ARLOANAN,,,,20473,Y066,10188,X0271,4,2,78,1,,
H38,286,B4007,2014-05-04,ARLOARAN,,,,20425,UNKNAR,10134,U8054,6,3,81,1,,
H38,287,B4009,2014-05-05,ARARLOAN,,,,20437,V131,402,U8044,6,3,66,1,,
H38,288,B4011,2014-05-06,ARLOANHH,,,,20447,W12,10138,U8081,6,2,75,1,,
H38,289,B4012,2014-05-06,ARLOARAN,,,,20437,V131,10181,X0089,4,2,75,1,,
H38,290,B4013,2014-05-06,ARLOHHAR,,,,20437,V131,372,S6072,8,2,49,1,,
H38,291,B4014,2014-05-07,ARARLOAN,,,,20437,V131,453,W9069,5,2,65,1,,
H38,292,B4015,2014-05-07,LOLOSHAN,,,,20430,UNKNLO,10221,Z2198,2,3,62,1,,
H38,293,B4016,2014-05-07,LMLOARAN,,,,20429,UNKNLM,10197,Y1002,3,3,76,1,,
H38,294,B4021,2014-05-09,LMLO,,,,20429,UNKNLM,10212,Y1234,3,2,80,1,,
