chaps_id,CalfID,entry_date,weight,hip_height,frame_score,status,notes,group,stage
551,X0202,,0,0,0,FALSE,,,R
552,X0226,2011-01-14,432,0,0,TRUE,,,R
553,X0240,,0,0,0,FALSE,,,R
554,X0248,,0,0,0,FALSE,,,R
555,XMS1,,0,0,0,FALSE,,,R
556,XMS10,,0,0,0,FALSE,,,R
557,XMS11,,0,0,0,FALSE,,,R
558,XMS14,,0,0,0,FALSE,,,R
559,XMS15,,0,0,0,FALSE,,,R
560,XMS2,,0,0,0,FALSE,,,R
561,XMS4,,0,0,0,FALSE,,,R
562,XMS7,,0,0,0,FALSE,,,R
563,Y1003,,0,0,0,FALSE,,,R
564,Y1005,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
565,Y1009,,0,0,0,FALSE,,,R
566,Y1013,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
567,Y1014,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
568,Y1015,,0,0,0,FALSE,,,R
569,Y1017,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
570,Y1018,,0,0,0,FALSE,,,R
571,Y1023,,0,0,0,FALSE,,,R
572,Y1026,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
573,Y1028,,0,0,0,FALSE,,,R
574,Y1029,,0,0,0,FALSE,,,R
575,Y1030,,0,0,0,FALSE,,,R
576,Y1031,,0,0,0,FALSE,,,R
577,Y1032,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
578,Y1036,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
579,Y1038,,0,0,0,FALSE,,,R
580,Y1039,,0,0,0,FALSE,,,R
581,Y1040,,0,0,0,FALSE,,,R
582,Y1042,,0,0,0,FALSE,,,R
583,Y1044,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
584,Y1045,,0,0,0,FALSE,,,R
585,Y1046,,0,0,0,FALSE,,,R
586,Y1047,,0,0,0,FALSE,,,R
587,Y1048,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
588,Y1049,,0,0,0,FALSE,,,R
589,Y1052,,0,0,0,FALSE,,,R
590,Y1053,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
591,Y1055,,0,0,0,FALSE,,,R
592,Y1056,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
593,Y1057,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
594,Y1058,,0,0,0,FALSE,,,R
595,Y1059,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
596,Y1060,,0,0,0,FALSE,,,R
597,Y1061,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
598,Y1062,,0,0,0,FALSE,,,R
599,Y1063,,0,0,0,FALSE,,,R
600,Y1064,,0,0,0,FALSE,,,R
601,Y1067,,0,0,0,FALSE,,,R
602,Y1068,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
603,Y1069,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
604,Y1070,,0,0,0,FALSE,,,R
605,Y1071,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
606,Y1072,,0,0,0,FALSE,,,R
607,Y1075,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
608,Y1076,,0,0,0,FALSE,,,R
609,Y1077,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
610,Y1081,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
611,Y1085,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
612,Y1086,,0,0,0,FALSE,,,R
613,Y1087,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
614,Y1088,,0,0,0,FALSE,,,R
615,Y1091,,0,0,0,FALSE,,,R
616,Y1102,,0,0,0,FALSE,,,R
617,Y1103,,0,0,0,FALSE,,,R
618,Y1118,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
619,Y1119,,0,0,0,FALSE,,,R
620,Y1130,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
621,Y1141,,0,0,0,FALSE,,,R
622,Y1143,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
623,Y1146,,0,0,0,TRUE,TO DECATUR 11/15/2011,,R
