HerdID,Chaps_ID,CowID,birth_date,breed,regnum,regname,elecid,Sire_ChapsID,Sire,Cow_ChapsID,dam,CowAge,sex,birthwt,calvingease,state,sex_date
H38,10106,S6185,2006-04-13,LOANANAN,,,982009104079679,20430,UNKNLO,,P4002,,2,,,,
H38,10107,S6196,2006-04-15,LOAN,,,982009104079567,20430,UNKNLO,,P4003,,2,,,,
H38,10108,S6197,2006-04-15,LOANHHAN,,,982000128138522,20430,UNKNLO,,P4010,,2,,,,
H38,10109,S6198,2006-04-15,LOANANGV,,,982009104079599,20430,UNKNLO,,P4056,,2,,,,
H38,10110,S6208,2006-04-17,LOANAR,,,982009104079485,20430,UNKNLO,,P4067,,2,,,,
H38,10111,S6230,2006-04-22,LOAN,,,982000128138658,20430,UNKNLO,,P4101,,2,,,,
H38,10112,S6241,2006-04-26,LOANAR,,,982009104190825,20430,UNKNLO,,P4032,,2,,,,
H38,10113,S6242,2006-04-26,LOANANHH,,,949000000009118,20430,UNKNLO,,P4120,,2,,,,
H38,10114,S6244,2006-04-28,LOANANAR,,,982009104079800,20430,UNKNLO,,P4013,,2,,,,
H38,10115,S6248,2006-04-30,LOANHH,,,999000000004130,20430,UNKNLO,,P4130,,2,,,,
H38,10116,S6250,2006-05-05,LOANHH,,,982009104079730,20430,UNKNLO,,P4129,,2,,,,
H38,10117,S6259,2006-05-09,LOAN,,,982009104079588,20430,UNKNLO,,P4060,,2,,,,
H38,10118,S6266,2006-05-15,LOANANHH,,,949000000074128,20430,UNKNLO,,P4069,,2,,,,
H38,10119,S6273,2006-05-26,LOANANAN,,,982000128138959,20087,307M,,N3089,,2,,,,
H38,10120,SUM044,,AN,10830647,SUMMITCREST AIRN U044,,20331,PSPOWER,,,,2,,,,
H38,395,U8001,2008-03-15,LOLOANAR,,,949000000015474,20087,307M,10063,P4132,,2,,,,
H38,396,U8004,2008-03-15,LOANARHH,,,949000000008409,20087,307M,10057,N3326,,2,,,,
H38,398,U8008,2008-03-18,LOLOANAN,,,949000000248457,20087,307M,10060,P4098,,2,,,,
H38,10124,U8012,2008-03-21,LOARHH,,,949000000075895,20087,307M,,N3305,,2,,,,
H38,10125,U8018,2008-03-22,LOANHHAN,,,949000000006294,20087,307M,,S6038,,2,,,,
H38,10126,U8019,2008-03-22,LOANANAN,,,949000000007115,20087,307M,,N3089,,2,,,,
H38,400,U8020,2008-03-22,ARLOAN,,,949000000009533,20360,S6032,10088,S6104,,2,,,,
H38,401,U8032,2008-03-22,LOLOANGV,,,949000000007919,20087,307M,10059,P4082,,2,,,,
H38,10129,U8039,2008-03-23,LOARANHH,,,949000000039731,20430,UNKNLO,,S6154,,2,,,,
H38,10130,U8042,2008-03-24,LOARHH,,,949000000072620,20430,UNKNLO,,S6107,,2,,,,
H38,10131,U8043,2008-03-24,LOARAN,,,949000000015010,20430,UNKNLO,,S6247,,2,,,,
H38,402,U8044,2008-03-23,ARLOANAN,,,949000000247966,20360,S6032,10113,S6242,,2,,,,
H38,403,U8045,2008-03-24,ARLOAN,,,949000000200151,20360,S6032,377,S6121,,2,,,,
H38,10134,U8054,2008-03-25,LOARANHH,,,949000000040026,20430,UNKNLO,,S6131,,2,,,,
H38,406,U8057,2008-03-25,ARLOHHAR,,,949000000071179,20360,S6032,372,S6072,,2,,,,
H38,407,U8058,2008-03-25,ARLOAN,,,949000000077822,20360,S6032,10107,S6196,,2,,,,
H38,408,U8080,2008-03-27,LOAN,,,949000000073927,20087,307M,10055,N3087,,2,,,,
H38,10138,U8081,2008-03-27,LOANHHAN,,,949000000196257,20430,UNKNLO,,S6070,,2,,,,
H38,10139,U8082,2008-03-27,LOANHHAN,,,949000000016024,20430,UNKNLO,,S6046,,2,,,,
H38,409,U8091,2008-03-27,LOLOANHH,,,949000000196710,20087,307M,10078,R5282,,2,,,,
H38,10141,U8105,2008-03-29,LOAN,,,949000000015356,20430,UNKNLO,,S6011,,2,,,,
H38,10142,U8116,2008-03-30,LOANHHAN,,,949000000249320,20430,UNKNLO,,S6069,,2,,,,
H38,414,U8133,2008-03-31,LOLOHHAN,,,949000000013836,20087,307M,10064,P4191,,2,,,,
H38,10144,U8149,2008-04-02,LOANANHH,,,949000000198804,20430,UNKNLO,,S6006,,2,,,,
H38,417,U8163,2008-04-04,ARLOLOHH,,,949000000008829,20360,S6032,373,S6093,,2,,,,
H38,420,U8190,2008-04-07,LOHHARHH,,,949000000075418,20087,307M,10056,N3099,,2,,,,
H38,422,U8200,2008-04-07,ARLOANHH,,,949000000200035,20360,S6032,10115,S6248,,2,,,,
H38,10148,U8226,2008-04-11,LOANARAN,,,949000000013923,20430,UNKNLO,,S6051,,2,,,,
H38,10149,U8235,2008-04-13,LOAN,,,949000000247682,20430,UNKNLO,,S6065,,2,,,,
H38,10150,U8236,2008-04-13,LOANAR,,,949000000070457,20430,UNKNLO,,S6086,,2,,,,
H38,424,U8242,2008-04-14,ARLOANHH,,,949000000200098,20360,S6032,10098,S6135,,2,,,,
H38,426,U8256,2008-04-16,ARLOANHH,,,949000000197376,20360,S6032,10105,S6184,,2,,,,
H38,10153,U8257,2008-04-16,LOANHPAN,,,949000000008213,20430,UNKNLO,,S6102,,2,,,,
H38,429,U8268,2008-04-18,ARLOANAN,,,949000000040023,20360,S6032,10114,S6244,,2,,,,
H38,434,U8278,2008-04-20,ARLOAN,,,949000000200530,20360,S6032,10111,S6230,,2,,,,
H38,10156,U8285,2008-04-21,LOANHHAN,,,949000000198666,20430,UNKNLO,,S6049,,2,,,,
H38,10157,U8302,2008-04-29,LOANANGV,,,949000000194493,20430,UNKNLO,,S6016,,2,,,,
H38,439,U8313,2008-05-08,ARLOAN,,,949000000132941,20360,S6032,10117,S6259,,2,,,,
H38,-2,Unknown,,,,,,,,,,,2,,,,
H38,448,W9053,2009-03-22,ARLOAN,,,982000128138390,20360,S6032,10088,S6104,,2,,,,
H38,452,W9060,2009-03-23,ARLOANHH,,,982000128138321,20360,S6032,10105,S6184,,2,,,,
H38,453,W9069,2009-03-26,ARLOANAN,,,982000128138326,20360,S6032,10096,S6124,,2,,,,
H38,10163,W9070,2009-03-26,ANARHH,,,982000128138371,20139,7AN221,,N3305,,2,,,,
H38,456,W9076,2009-03-27,ANLOHH,,,982000025313706,20139,7AN221,10070,R5099,,2,,,,
H38,457,W9077,2009-03-27,ARLOAN,,,982000128138383,20360,S6032,10111,S6230,,2,,,,
H38,461,W9109,2009-03-31,ARLOANAN,,,982000025314176,20360,S6032,10119,S6273,,2,,,,
