chaps_id,CalfID,date_weighed,managecode,group,grade,lot_no
472,W9188,2009-10-29,0,,0,
473,W9189,2009-10-16,0,,0,
474,W9196,2009-10-16,0,,0,
475,W9207,2009-10-16,0,,0,
476,W9208,2009-10-29,0,,0,
477,W9214,2009-10-16,0,,0,
478,W9215,2009-10-16,0,,0,
479,W9217,2009-10-16,0,,0,
480,W9224,2009-10-29,0,,0,
481,W9227,2009-10-29,0,,0,
482,W9235,2009-10-29,0,,0,
483,W9240,2009-10-29,0,,0,
484,W9245,2009-10-29,0,,0,
485,W9251,2009-10-29,0,,0,
486,WMS1,2009-11-03,A,,0,
487,X0003,2010-10-15,0,,0,
488,X0009,2010-10-15,0,,0,
489,X0011,2010-10-15,0,,0,
490,X0012,2010-10-15,0,,0,
491,X0016,2010-10-15,0,,0,
492,X0019,2010-10-15,0,,0,
493,X0020,2010-10-15,0,,0,
494,X0023,2010-10-15,0,,0,
495,X0025,2010-10-15,0,,0,
496,X0026,2010-10-15,0,,0,
497,X0029,2010-10-15,0,,0,
498,X0030,2010-10-15,0,,0,
499,X0032,2010-10-15,0,,0,
500,X0033,2010-10-15,0,,0,
501,X0034,2010-10-15,0,,0,
502,X0035,,D,,0,
503,X0036,2010-10-15,0,,0,
504,X0039,2010-10-15,0,,0,
505,X0040,2010-10-15,0,,0,
506,X0041,2010-10-15,0,,0,
507,X0042,2010-10-15,0,,0,
508,X0044,2010-10-15,0,,0,
509,X0045,2010-10-15,0,,0,
510,X0047,2010-10-15,0,,0,
511,X0048,2010-10-15,0,,0,
512,X0049,2010-10-15,0,,0,
513,X0052,2010-10-15,0,,0,
514,X0053,2010-10-15,0,,0,
515,X0054,2010-10-15,0,,0,
516,X0056,2010-10-15,0,,0,
517,X0059,2010-10-15,0,,0,
518,X0060,2010-10-15,0,,0,
519,X0061,2010-10-15,0,,0,
520,X0062,2010-10-15,0,,0,
521,X0069,2010-10-15,0,,0,
522,X0070,2010-10-15,0,,0,
523,X0071,2010-10-15,0,,0,
524,X0072,2010-10-15,0,,0,
525,X0073,2010-10-15,0,,0,
526,X0077,2010-10-15,0,,0,
527,X0085,2010-10-15,0,,0,
528,X0091,2010-10-15,0,,0,
529,X0095,2010-10-15,0,,0,
530,X0097,2010-10-15,0,,0,
531,X0100,2010-10-15,0,,0,
532,X0112,2010-10-15,0,,0,
533,X0113,2010-10-15,0,,0,
534,X0123,2010-10-15,0,,0,
535,X0124,2010-10-15,0,,0,
536,X0125,2010-10-15,0,,0,
537,X0126,2010-10-15,0,,0,
538,X0128,2010-10-15,0,,0,
539,X0129,2010-10-15,0,,0,
540,X0144,2010-10-15,0,,0,
541,X0145,2010-10-15,0,,0,
542,X0146,2010-10-15,0,,0,
543,X0155,2010-10-15,0,,0,
544,X0157,2010-10-15,0,,0,
545,X0167,2010-10-15,0,,0,
546,X0172,2010-10-15,0,,0,
547,X0188,2010-10-15,0,,0,
548,X0195,2010-10-15,0,,0,
549,X0196,2010-10-15,0,,0,
550,X0197,2010-10-15,0,,0,
551,X0202,2010-10-15,0,,0,
552,X0226,2010-10-15,0,,0,
553,X0240,2010-10-15,0,,0,
554,X0248,2010-10-15,0,,0,
555,XMS1,2010-01-30,B,,0,
556,XMS10,2010-03-26,C,,0,
