chaps_id,cowID,Bull_turnout_date,conceptdate,breeddate,breedwt,breedcond,weandate,weanwt,Wean_Condition_Score
10093,S6115,2012-08-01,18-Oct-12,20-Jul-12,1165,6,14-Nov-13,1140,4
10093,S6115,2013-08-01,14-Nov-13,17-Jul-13,1170,5,19-Nov-14,1045,5
377,S6121,2006-06-16,,15-Mar-07,418,0,,0,0
377,S6121,2007-06-18,19-Sep-07,,0,0,30-Oct-08,668,6
377,S6121,2008-06-10,,,0,0,,0,0
10095,S6122,2006-06-16,,15-Mar-07,572,0,,0,0
10095,S6122,2007-06-18,19-Sep-07,,0,0,30-Oct-08,1160,7
10095,S6122,2008-06-10,,,0,0,,0,0
10095,S6122,2009-06-18,,,0,0,29-Oct-09,1120,6
10095,S6122,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1250,5
10095,S6122,2011-08-08,14-Oct-11,14-Oct-11,1250,5,15-Nov-12,1175,6
10095,S6122,2012-08-01,18-Oct-12,20-Jul-12,1360,6,14-Nov-13,1340,6
10095,S6122,2013-08-01,14-Nov-13,17-Jul-13,1300,6,17-Nov-14,1315,6
10096,S6124,2006-06-16,,15-Mar-07,546,0,,0,0
10096,S6124,2007-06-18,19-Sep-07,,0,0,30-Oct-08,898,6
10096,S6124,2008-06-10,,,0,0,,0,0
10096,S6124,2009-06-18,,,0,0,16-Oct-09,958,5
10096,S6124,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1060,4
10096,S6124,2011-08-08,14-Oct-11,14-Oct-11,1060,4,15-Nov-12,1025,5
10096,S6124,2012-08-01,18-Oct-12,20-Jul-12,1165,6,14-Nov-13,1090,4
10096,S6124,2013-08-01,14-Nov-13,17-Jul-13,1055,4,19-Nov-14,1030,0
10097,S6134,2006-06-16,,15-Mar-07,558,0,,0,0
10097,S6134,2007-06-18,19-Sep-07,,0,0,16-Oct-08,896,5
10098,S6135,2006-06-16,,15-Mar-07,488,0,,0,0
10098,S6135,2007-06-18,19-Sep-07,,0,0,30-Oct-08,910,6
10098,S6135,2008-06-10,,,0,0,,0,0
10098,S6135,2009-06-18,,,0,0,16-Oct-09,962,5
10098,S6135,2010-06-01,16-Aug-10,,0,0,14-Oct-11,1100,5
