chaps_id,CalfID,date_weighed,weight,hip_height,frame_score,status
360,B4208,2014-11-13,367,39,4,TRUE
361,BMS01,2014-04-04,0,0,0,TRUE
362,BMS02,2014-04-28,0,0,0,TRUE
363,BMS04,2014-05-25,0,0,0,TRUE
364,D503,1990-10-22,565,0,0,FALSE
365,D531,1990-10-22,574,0,0,FALSE
366,R075,1990-10-22,575,0,0,FALSE
367,R5035,2005-10-26,422,0,0,TRUE
368,R5125,2005-10-26,388,0,0,TRUE
369,R5132,2005-10-26,434,0,0,TRUE
370,S6048,2006-10-18,402,0,0,TRUE
371,S6063,2006-10-18,434,0,0,TRUE
372,S6072,2006-10-18,394,0,0,TRUE
373,S6093,2006-10-18,432,0,0,TRUE
374,S6095,2006-10-18,396,0,0,TRUE
375,S6096,2006-10-18,370,0,0,TRUE
376,S6113,2006-10-18,486,0,0,TRUE
377,S6121,2006-10-18,322,0,0,TRUE
378,S6172,2006-10-18,380,0,0,TRUE
379,T7007,2007-10-01,0,0,0,TRUE
380,T7009,2007-10-19,434,0,0,TRUE
381,T7011,2007-10-19,416,0,0,TRUE
382,T7014,2007-10-19,426,0,0,TRUE
383,T7064,2007-10-19,530,0,0,TRUE
384,T7087,2007-10-19,432,0,0,TRUE
385,T7107,2007-10-19,474,0,0,TRUE
386,T7109,2007-10-19,386,0,0,TRUE
387,T7116,,0,0,0,FALSE
388,T7124,2007-10-19,452,0,0,TRUE
389,T7131,2007-10-19,496,0,0,TRUE
390,T7163,2007-10-19,420,0,0,TRUE
391,T7166,2007-10-19,430,0,0,TRUE
392,T7209,2007-10-19,416,0,0,TRUE
393,T7290,2007-10-19,426,0,0,TRUE
394,T7291,2007-10-19,278,0,0,TRUE
395,U8001,2008-10-17,450,40,3.1,TRUE
396,U8004,2008-10-17,516,41,3.6,TRUE
397,U8007,2008-10-28,460,40,3.3,TRUE
398,U8008,2008-10-17,512,42,4.1,TRUE
399,U8010,2008-10-17,442,41,3.7,TRUE
400,U8020,2008-10-28,440,37,1.8,TRUE
401,U8032,2008-10-17,482,42,4.2,TRUE
402,U8044,2008-10-16,532,44,5.2,TRUE
403,U8045,2008-10-28,390,39,2.8,TRUE
404,U8055,2008-10-16,528,44,4.9,TRUE
405,U8056,2008-10-16,466,43,4.4,TRUE
406,U8057,2008-10-28,440,40,3.3,TRUE
407,U8058,2008-10-28,472,42,4.3,TRUE
408,U8080,2008-10-17,500,41,3.8,TRUE
409,U8091,2008-10-17,416,40,3.3,TRUE
410,U8093,2008-10-17,464,42,4.3,TRUE
411,U8094,2008-10-17,574,43,4.4,TRUE
412,U8104,2008-10-16,422,41,3.8,TRUE
413,U8117,2008-10-28,498,43,4.5,TRUE
