chaps_id,CalfID,entry_date,weight,hip_height,frame_score,back_fat,rib_eye,marbling,scrotum_circum,scrotum_date,pelvic_area,pelvic_date,status,notes,365_day_weight,stage
133,3187,1993-10-15,522,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
134,3188,1993-10-08,547,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
135,3190,1993-10-18,566,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
136,3191,1993-10-07,395,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
137,3192,1993-10-07,590,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
138,3194,1993-10-19,492,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
139,3198,1993-10-18,524,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
140,3202,1993-10-15,481,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
141,3207,1993-10-15,508,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
142,3213,1993-10-15,531,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
143,3214,1993-10-15,668,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
144,3217,1993-10-07,574,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
145,3219,1993-10-07,556,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
146,3220,1993-10-19,547,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
147,3221,1993-10-19,540,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
148,3227,1993-10-08,456,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
149,3230,1993-10-19,515,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
150,3231,1993-10-08,518,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
151,3233,1993-10-15,560,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
152,3234,1993-10-07,659,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
153,3239,1993-10-18,538,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
154,3241,1993-10-15,570,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
155,3243,1993-10-19,578,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
156,3247,1993-10-08,429,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
157,3251,1993-10-19,557,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
158,3253,1993-10-07,670,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
159,3255,1993-10-18,456,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
160,3262,1993-10-07,492,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
161,3266,1993-10-07,482,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
162,3269,1993-10-06,555,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
163,3270,1993-10-07,551,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
164,3272,1993-10-15,472,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
165,3273,1993-10-15,474,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
166,3274,1993-10-18,505,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
167,3277,1993-10-06,520,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
168,3280,1993-10-15,530,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
169,3281,1993-10-08,470,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
170,3284,1993-10-06,490,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
171,3285,1993-10-15,591,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
172,3286,1993-10-15,470,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
173,3287,1993-10-15,583,0,0,0,0,0,0,02-Jan-00,0,02-Jan-00,FALSE,,0,R
